Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  3.73      1.19     1.19                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ ba2c)
  0.00     31.92     0.00    13520     0.00     0.00  alglib_impl::ae_fp_eq(double, double) (ap.cpp:2251 @ 17890)
  0.00     31.92     0.00    11520     0.00     0.00  alglib_impl::ae_c_neq_d(alglib_impl::ae_complex, double) (ap.cpp:4912 @ 1a700)
  0.00     31.92     0.00    11520     0.00     0.00  alglib_impl::ae_c_eq_d(alglib_impl::ae_complex, double) (ap.cpp:4903 @ 1a6b0)
  0.00     31.92     0.00    11520     0.00     0.00  alglib_impl::safesolve_cbasicsolveandupdate(alglib_impl::ae_complex, alglib_impl::ae_complex, double, double, double, double*, alglib_impl::ae_complex*, alglib_impl::ae_state*) (alglibinternal.cpp:10340 @ 54e40)
  0.00     31.92     0.00    10320     0.00     0.00  alglib_impl::ae_fp_greater_eq(double, double) (ap.cpp:2289 @ 17980)
  0.00     31.92     0.00    10240     0.00     0.00  alglib_impl::ae_v_moved(double*, long, double const*, long, long, double) (ap.cpp:5605 @ 1c4f0)
  0.00     31.92     0.00    10160     0.00     0.00  alglib_impl::ae_c_div(alglib_impl::ae_complex, alglib_impl::ae_complex) (ap.cpp:4881 @ 1a610)
  0.00     31.92     0.00    10000     0.00     0.00  alglib_impl::ae_fp_less(double, double) (ap.cpp:2265 @ 178f0)
  0.00     31.92     0.00     8480     0.00     0.00  alglib_impl::ae_v_muld(double*, long, long, double) (ap.cpp:5718 @ 1cac0)
  0.00     31.92     0.00     6560     0.00     0.00  alglib_impl::ae_malloc(unsigned long, alglib_impl::ae_state*) (ap.cpp:839 @ 15d40)
  0.00     31.92     0.00     6480     0.00     0.00  alglib_impl::ae_v_move(double*, long, double const*, long, long) (ap.cpp:5551 @ 1c320)
  0.00     31.92     0.00     6400     0.00     0.00  alglib_impl::xblas_xfastpow(double, long, alglib_impl::ae_state*) (alglibinternal.cpp:12776 @ 59ca0)
  0.00     31.92     0.00     6240     0.00     0.00  alglib_impl::ae_assert(bool, char const*, alglib_impl::ae_state*) (ap.cpp:2151 @ 17830)
  0.00     31.92     0.00     5440     0.00     0.00  alglib_impl::ae_v_addd(double*, long, double const*, long, long, double) (ap.cpp:5659 @ 1c720)
  0.00     31.92     0.00     5120     0.00     0.00  alglib_impl::ae_v_subd(double*, long, double const*, long, long, double) (ap.cpp:5713 @ 1c970)
  0.00     31.92     0.00     3600     0.00     0.00  V(int, int, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, double, double, double) (terms.cpp:338 @ e510)
  0.00     31.92     0.00     3600     0.00     0.00  alglib_impl::xdot(alglib_impl::ae_vector*, alglib_impl::ae_vector*, long, alglib_impl::ae_vector*, double*, double*, alglib_impl::ae_state*) (alglibinternal.cpp:12477 @ 6f810)
  0.00     31.92     0.00     3280     0.00     0.00  alglib_impl::ae_vector_set_length(alglib_impl::ae_vector*, long, alglib_impl::ae_state*) (ap.cpp:1410 @ 162e0)
  0.00     31.92     0.00     3200     0.00     0.00  alglib_impl::ae_isfinite(double, alglib_impl::ae_state*) (ap.cpp:2433 @ 17b30)
  0.00     31.92     0.00     3200     0.00     0.00  alglib_impl::ae_free(void*) (ap.cpp:850 @ 13280)
  0.00     31.92     0.00     3200     0.00     0.00  alglib_impl::ae_round(double, alglib_impl::ae_state*) (ap.cpp:2485 @ 17d30)
  0.00     31.92     0.00     2880     0.00     0.00  alglib_impl::ae_sign(double, alglib_impl::ae_state*) (ap.cpp:2478 @ 17d00)
  0.00     31.92     0.00     2720     0.00     0.00  alglib_impl::ae_vector_init(alglib_impl::ae_vector*, long, long, alglib_impl::ae_state*, bool) (ap.cpp:1269 @ 16050)
  0.00     31.92     0.00     2400     0.00     0.00  alglib_impl::ae_minint(long, long, alglib_impl::ae_state*) (ap.cpp:2510 @ 17e20)
  0.00     31.92     0.00     1920     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::_M_default_append(unsigned long) (vector.tcc:554 @ 11910)
  0.00     31.92     0.00     1760     0.00     0.00  alglib_impl::ae_frame_make(alglib_impl::ae_state*, alglib_impl::ae_frame*) (ap.cpp:1072 @ 15c10)
  0.00     31.92     0.00     1760     0.00     0.00  alglib_impl::ae_frame_leave(alglib_impl::ae_state*) (ap.cpp:1085 @ 15c40)
  0.00     31.92     0.00     1600     0.00     0.00  alglib_impl::rcond_rmatrixestimatenorm(long, alglib_impl::ae_vector*, alglib_impl::ae_vector*, alglib_impl::ae_vector*, double*, long*, alglib_impl::ae_state*) (linalg.cpp:31181 @ 75c40)
  0.00     31.92     0.00     1360     0.00     0.00  alglib_impl::ae_complex_from_i(long) (ap.cpp:4779 @ 1a3b0)
  0.00     31.92     0.00     1280     0.00     0.00  alglib_impl::rmatrixscaledtrsafesolve(alglib_impl::ae_matrix*, double, long, alglib_impl::ae_vector*, bool, long, bool, double, alglib_impl::ae_state*) (alglibinternal.cpp:9728 @ 6a340)
  0.00     31.92     0.00      960     0.00     0.00  alglib_impl::ae_sqrt(double, alglib_impl::ae_state*) (ap.cpp:2473 @ 17cf0)
  0.00     31.92     0.00      720     0.00     0.00  u(int, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, double, double, double) (terms.cpp:394 @ e850)
  0.00     31.92     0.00      720     0.00     0.00  alglib::real_1d_array::operator[](long) (ap.cpp:7489 @ 20fc0)
  0.00     31.92     0.00      640     0.00     0.00  alglib_impl::ae_v_moveneg(double*, long, double const*, long, long) (ap.cpp:5578 @ 1c3c0)
  0.00     31.92     0.00      640     0.00     0.00  alglib_impl::rmatrixrank1(long, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, long, alglib_impl::ae_vector*, long, alglib_impl::ae_state*) (linalg.cpp:19281 @ a84e0)
  0.00     31.92     0.00      640     0.00     0.00  alglib_impl::rmatrixrank1f(long, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, long, alglib_impl::ae_vector*, long, alglib_impl::ae_state*) (alglibinternal.cpp:6289 @ 62060)
  0.00     31.92     0.00      640     0.00     0.00  alglib_impl::_ialglib_rmatrixrank1(long, long, double*, long, double*, double*) (ap.cpp:11053 @ 299d0)
  0.00     31.92     0.00      640     0.00     0.00  alglib_impl::_ialglib_i_rmatrixrank1f(long, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, long, alglib_impl::ae_vector*, long) (ap.cpp:11408 @ 2a470)
  0.00     31.92     0.00      600     0.00     0.00  operator+(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >) (operators.cpp:3 @ 11eb0)
  0.00     31.92     0.00      480     0.00     0.00  alglib_impl::imax2(long, long, alglib_impl::ae_state*) (alglibinternal.cpp:2428 @ 5ed60)
  0.00     31.92     0.00      400     0.00     0.00  alglib_impl::ae_touch_ptr(void*) (ap.cpp:952 @ 15a90)
  0.00     31.92     0.00      400     0.00     0.00  alglib_impl::ae_matrix_init(alglib_impl::ae_matrix*, long, long, long, alglib_impl::ae_state*, bool) (ap.cpp:1508 @ 16540)
  0.00     31.92     0.00      400     0.00     0.00  alglib_impl::ae_v_add(double*, long, double const*, long, long) (ap.cpp:5632 @ 1c610)
  0.00     31.92     0.00      400     0.00     0.00  alglib::_densesolverlsreport_owner::~_densesolverlsreport_owner() (solvers.cpp:285 @ 35530)
  0.00     31.92     0.00      320     0.00     0.00  multipl(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >&, std::vector<double, std::allocator<double> >&) (operators.cpp:19 @ 121d0)
  0.00     31.92     0.00      320     0.00     0.00  alglib_impl::_ialglib_mcopyblock(long, long, double const*, long, long, double*) (ap.cpp:9917 @ 24f60)
  0.00     31.92     0.00      280     0.00     0.00  multipl(double, std::vector<double, std::allocator<double> >&) (operators.cpp:29 @ 12300)
  0.00     31.92     0.00      240     0.00     0.00  alglib_impl::ae_vector_clear(alglib_impl::ae_vector*) (ap.cpp:1440 @ 163f0)
  0.00     31.92     0.00      240     0.00     0.00  alglib_impl::matrixtilesizea(alglib_impl::ae_state*) (alglibinternal.cpp:3269 @ 60260)
  0.00     31.92     0.00      240     0.00     0.00  alglib_impl::matrixtilesizeb(alglib_impl::ae_state*) (alglibinternal.cpp:3289 @ 60280)
  0.00     31.92     0.00      240     0.00     0.00  alglib_impl::ae_matrix_set_length(alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*) (ap.cpp:1697 @ 16cc0)
  0.00     31.92     0.00      160     0.00     0.00  alglib_impl::ae_state_init(alglib_impl::ae_state*) (ap.cpp:967 @ 15ac0)
  0.00     31.92     0.00      160     0.00     0.00  alglib_impl::ae_state_clear(alglib_impl::ae_state*) (ap.cpp:1034 @ 15b50)
  0.00     31.92     0.00      160     0.00     0.00  alglib_impl::rcondthreshold(alglib_impl::ae_state*) (linalg.cpp:29693 @ c7ae0)
  0.00     31.92     0.00      160     0.00     0.00  alglib_impl::ae_matrix_clear(alglib_impl::ae_matrix*) (ap.cpp:1736 @ 16fb0)
  0.00     31.92     0.00      160     0.00     0.00  alglib_impl::rmatrixlefttrsm(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*) (linalg.cpp:20692 @ b1c80)
  0.00     31.92     0.00      160     0.00     0.00  alglib_impl::rmatrixlefttrsmf(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*) (alglibinternal.cpp:6417 @ 620d0)
  0.00     31.92     0.00      160     0.00     0.00  alglib_impl::rmatrixlefttrsmmkl(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*) (alglibinternal.cpp:5623 @ 61f30)
  0.00     31.92     0.00      160     0.00     0.00  alglib_impl::ae_state_set_break_jump(alglib_impl::ae_state*, __jmp_buf_tag (*) [1]) (ap.cpp:1046 @ 15bf0)
  0.00     31.92     0.00      160     0.00     0.00  alglib_impl::_ialglib_i_rmatrixlefttrsmf(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long) (ap.cpp:11335 @ 2a220)
  0.00     31.92     0.00      160     0.00     0.00  alglib_impl::rcond_rmatrixrcondluinternal(alglib_impl::ae_matrix*, long, bool, bool, double, double*, alglib_impl::ae_state*) (linalg.cpp:30611 @ 842d0)
  0.00     31.92     0.00      160     0.00     0.00  alglib::real_1d_array::attach_to_ptr(long, double*) (ap.cpp:7521 @ 2c8d0)
  0.00     31.92     0.00      160     0.00     0.00  alglib::real_1d_array::real_1d_array() (ap.cpp:7465 @ 2b9a0)
  0.00     31.92     0.00      160     0.00     0.00  alglib::real_1d_array::~real_1d_array() (ap.cpp:7482 @ 13130)
  0.00     31.92     0.00      160     0.00     0.00  alglib::ae_vector_wrapper::attach_to(alglib_impl::x_vector*, alglib_impl::ae_state*) (ap.cpp:7212 @ 20c80)
  0.00     31.92     0.00      160     0.00     0.00  alglib::ae_vector_wrapper::ae_vector_wrapper(long) (ap.cpp:7125 @ 2b7c0)
  0.00     31.92     0.00      160     0.00     0.00  alglib::ae_vector_wrapper::~ae_vector_wrapper() (ap.cpp:7177 @ 13070)
  0.00     31.92     0.00      160     0.00     0.00  std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >::_M_default_append(unsigned long) (vector.tcc:554 @ 11640)
  0.00     31.92     0.00      160     0.00     0.00  operator-(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >) (operators.cpp:11 @ 12040)
  0.00     31.92     0.00      100     0.00     0.00  theta0(double) (problem_definition.cpp:48 @ 11e30)
  0.00     31.92     0.00      100     0.00     0.00  theta0p(double) (problem_definition.cpp:52 @ 11e60)
  0.00     31.92     0.00       80     0.00     0.00  convertMMatrix(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >) (terms.cpp:461 @ 10620)
  0.00     31.92     0.00       80     0.00     0.00  A(double, double, int, std::vector<double, std::allocator<double> >&, int) (terms.cpp:148 @ fa20)
  0.00     31.92     0.00       80     0.00     0.00  B(double, double, int, std::vector<double, std::allocator<double> >&, int) (terms.cpp:180 @ f230)
  0.00     31.92     0.00       80     0.00     0.00  K(int, double, double) (terms.cpp:208 @ 11070)
  0.00     31.92     0.00       80     0.00     0.00  mM(double, double, std::vector<double, std::allocator<double> >&, double, int) (terms.cpp:265 @ 10b80)
  0.00     31.92     0.00       80     0.00     0.00  mV(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, double, double, double, int, double) (terms.cpp:372 @ 109e0)
  0.00     31.92     0.00       80     0.00     0.00  mY(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >&, std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >&) (terms.cpp:316 @ 10770)
  0.00     31.92     0.00       80     0.00     0.00  mZ(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >&, std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >&) (terms.cpp:289 @ 11210)
  0.00     31.92     0.00       80     0.00     0.00  step(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) (step.cpp:11 @ 8cc0)
  0.00     31.92     0.00       80     0.00     0.00  uVek(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, double, double, double, int, double) (terms.cpp:427 @ 11550)
  0.00     31.92     0.00       80     0.00     0.00  solve(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >&, std::vector<double, std::allocator<double> >&) (linear_solve.cpp:11 @ 5350)
  0.00     31.92     0.00       80     0.00     0.00  theta0pp(double) (problem_definition.cpp:56 @ 11e90)
  0.00     31.92     0.00       80     0.00     0.00  verschVek(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, double, double, double, int) (terms.cpp:448 @ ec50)
  0.00     31.92     0.00       80     0.00     0.00  alglib_impl::rmatrixplu(alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:28097 @ c3220)
  0.00     31.92     0.00       80     0.00     0.00  alglib_impl::rmatrixsolve(alglib_impl::ae_matrix*, long, alglib_impl::ae_vector*, long*, alglib_impl::densesolverreport*, alglib_impl::ae_vector*, alglib_impl::ae_state*) (solvers.cpp:5653 @ 40930)
  0.00     31.92     0.00       80     0.00     0.00  alglib_impl::rmatrixplumkl(alglib_impl::ae_matrix*, long, long, long, alglib_impl::ae_vector*, alglib_impl::ae_state*) (alglibinternal.cpp:5767 @ 61f60)
  0.00     31.92     0.00       80     0.00     0.00  alglib_impl::rmatrixplurec(alglib_impl::ae_matrix*, long, long, long, alglib_impl::ae_vector*, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:23134 @ b6a00)
  0.00     31.92     0.00       80     0.00     0.00  alglib_impl::rmatrixsolvem(alglib_impl::ae_matrix*, long, alglib_impl::ae_matrix*, long, bool, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:5855 @ 404a0)
  0.00     31.92     0.00       80     0.00     0.00  alglib_impl::rmatrixlurcond1(alglib_impl::ae_matrix*, long, alglib_impl::ae_state*) (linalg.cpp:29338 @ c6f90)
  0.00     31.92     0.00       80     0.00     0.00  alglib_impl::rmatrixlurcondinf(alglib_impl::ae_matrix*, long, alglib_impl::ae_state*) (linalg.cpp:29371 @ c6fe0)
  0.00     31.92     0.00       80     0.00     0.00  alglib_impl::ae_matrix_init_attach_to_x(alglib_impl::ae_matrix*, alglib_impl::x_matrix*, alglib_impl::ae_state*, bool) (ap.cpp:1628 @ 169f0)
  0.00     31.92     0.00       80     0.00     0.00  alglib_impl::ae_maxint(long, long, alglib_impl::ae_state*) (ap.cpp:2505 @ 17e00)
  0.00     31.92     0.00       80     0.00     0.00  alglib_impl::rmatrixlu(alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:26568 @ c3520)
  0.00     31.92     0.00       80     0.00     0.00  alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:9288 @ 35990)
  0.00     31.92     0.00       80     0.00     0.00  alglib::rmatrixsolve(alglib::real_2d_array const&, long, alglib::real_1d_array const&, long&, alglib::densesolverreport&, alglib::real_1d_array&, alglib::xparams) (solvers.cpp:385 @ 40b40)
  0.00     31.92     0.00       80     0.00     0.00  alglib::real_2d_array::attach_to_ptr(long, long, double*) (ap.cpp:8103 @ 2dd30)
  0.00     31.92     0.00       80     0.00     0.00  alglib::real_2d_array::real_2d_array() (ap.cpp:8046 @ 2cdc0)
  0.00     31.92     0.00       80     0.00     0.00  alglib::real_2d_array::~real_2d_array() (ap.cpp:8058 @ 13240)
  0.00     31.92     0.00       80     0.00     0.00  alglib::ae_matrix_wrapper::ae_matrix_wrapper(long) (ap.cpp:7672 @ 2cb80)
  0.00     31.92     0.00       80     0.00     0.00  alglib::ae_matrix_wrapper::~ae_matrix_wrapper() (ap.cpp:7728 @ 13170)
  0.00     31.92     0.00       80     0.00     0.00  alglib::ae_vector_wrapper::c_ptr() (ap.cpp:7253 @ 20dd0)
  0.00     31.92     0.00       80     0.00     0.00  alglib::densesolverreport::~densesolverreport() (solvers.cpp:191 @ 37ba0)
  0.00     31.92     0.00       80     0.00     0.00  alglib::_densesolverreport_owner::_densesolverreport_owner() (solvers.cpp:71 @ 38ad0)
  0.00     31.92     0.00       80     0.00     0.00  alglib::ae_matrix_wrapper::c_ptr() const (ap.cpp:7879 @ 21220)
  0.00     31.92     0.00       80     0.00     0.00  alglib::ae_vector_wrapper::c_ptr() const (ap.cpp:7251 @ 20dc0)
  0.00     31.92     0.00       80     0.00     0.00  std::vector<double, std::allocator<double> >::operator=(std::vector<double, std::allocator<double> > const&) (vector.tcc:179 @ 8980)
  0.00     31.92     0.00       22     0.00     0.00  save(double&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) (utility.cpp:37 @ 12980)
  0.00     31.92     0.00       21     0.00     0.00  save(std::vector<double, std::allocator<double> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) (utility.cpp:19 @ 12600)
  0.00     31.92     0.00        1     0.00     0.00  _GLOBAL__sub_I_Am (globals.cpp:21 @ 4890)
  0.00     31.92     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z12plotteMatrixRSt6vectorIS_IdSaIdEESaIS1_EE (utility.cpp:62 @ 4c10)
  0.00     31.92     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z4stepiddddbbbRSt6vectorIdSaIdEES2_idNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE (step.cpp:50 @ 4bd0)
  0.00     31.92     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z5euleriddddbbbSt6vectorIdSaIdEES1_idNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES7_id (timestepping.cpp:102 @ 4850)
  0.00     31.92     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z5solveRSt6vectorIS_IdSaIdEESaIS1_EERS1_ (linear_solve.cpp:38 @ 4810)
  0.00     31.92     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN11alglib_impl23getrdfserializationcodeEPNS_8ae_stateE (alglibinternal.cpp:16650 @ 4d00)
  0.00     31.92     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN11alglib_impl30_alglib_global_threading_flagsE (ap.cpp:12004 @ 4c50)
  0.00     31.92     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN6alglib19_sparsematrix_ownerC2Ev (linalg.cpp:50917 @ 4d40)
  0.00     31.92     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN6alglib24_densesolverreport_ownerC2Ev (solvers.cpp:13679 @ 4cc0)
  0.00     31.92     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN6alglib26_kdtreerequestbuffer_ownerC2Ev (alglibmisc.cpp:8608 @ 4d80)
  0.00     31.92     0.00        1     0.00     0.00  _GLOBAL__sub_I_main (main.cpp:457 @ 47d0)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.03% of 31.92 seconds

index % time    self  children    called     name
                0.00    0.00  576000/215357760     double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:17 @ ff96) [312]
                0.00    0.00  576000/215357760     dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:97 @ 10040) [311]
                0.00    0.00 6953040/215357760     CosIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:45 @ abc8) [304]
                0.00    0.00 6953040/215357760     CosIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:45 @ ac50) [305]
                0.00    0.00 6953040/215357760     SinIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:65 @ b608) [306]
                0.00    0.00 6953040/215357760     SinIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:65 @ b690) [307]
                0.03    0.00 46080000/215357760     dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:97 @ 10122) [119]
                0.03    0.00 46080000/215357760     dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:97 @ 10203) [132]
                0.03    0.00 47116800/215357760     dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:97 @ c853) [131]
                0.03    0.00 47116800/215357760     dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:120 @ cf2e) [118]
[62]     0.5    0.15    0.00 215357760         Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:24 @ a6c0) [62]
-----------------------------------------------
                0.00    0.00  576000/94489920     double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:17 @ f749) [309]
                0.00    0.00  576000/94489920     double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:18 @ f752) [310]
                0.00    0.00 1177920/94489920     double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:18 @ ce3e) [308]
                0.04    0.00 46080000/94489920     double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ f7d5) [128]
                0.04    0.00 46080000/94489920     double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ f7ed) [116]
[94]     0.2    0.08    0.00 94489920         dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:119 @ ca20) [94]
-----------------------------------------------
                0.01    0.00      80/80          solve(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >&, std::vector<double, std::allocator<double> >&) (linear_solve.cpp:30 @ 56b1) [289]
[269]    0.0    0.01    0.00      80         alglib::densesolverreport::densesolverreport() (solvers.cpp:175 @ 38f10) [269]
                0.00    0.00      80/80          alglib::_densesolverreport_owner::_densesolverreport_owner() (solvers.cpp:71 @ 38ad0) [1498]
-----------------------------------------------
                                                 <spontaneous>
[303]    0.0    0.01    0.00                 alglib::_densesolverreport_owner::c_ptr() const (solvers.cpp:169 @ 38f00) [303]
-----------------------------------------------
                0.00    0.00     720/6953040     verschVekIntegrand(double, int, double, std::vector<double, std::allocator<double> >&, int, double, double) (terms.cpp:444 @ ed50) [2648]
                0.00    0.00     720/6953040     verschVekIntegrand(double, int, double, std::vector<double, std::allocator<double> >&, int, double, double) (terms.cpp:444 @ ee1a) [2649]
                0.00    0.00    3600/6953040     double Integral_<double (double, int, int, double, int, std::vector<double, std::allocator<double> > const&), &(mIntegrand(double, int, int, double, int, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, int&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, int&, std::vector<double, std::allocator<double> > const&) (integral.h:19 @ 10e20) [5225]
                0.00    0.00    6480/6953040     u(int, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, double, double, double) (terms.cpp:418 @ eabd) [3235]
                0.00    0.00   10800/6953040     mIntegrand(double, int, int, double, int, std::vector<double, std::allocator<double> > const&) (terms.cpp:84 @ 10d18) [1616]
